weight,precision@10,recall@10,rmse
0.1,0.007643312101910824,0.0019270862153321874,2.344688130822845
0.15,0.00777070063694267,0.001931222206729325,2.344688130822845
0.2,0.00777070063694267,0.001931222206729325,2.344688130822845
0.25,0.00777070063694267,0.001931222206729325,2.344688130822845
0.3,0.00777070063694267,0.001931222206729325,2.344688130822845
0.35,0.007643312101910824,0.002057250290725063,2.344688130822845
0.4,0.00777070063694267,0.002069499188324279,2.344688130822845
0.45,0.007898089171974518,0.002076275174230228,2.344688130822845
0.5,0.0077707006369426715,0.0020743738528118424,2.344688130822845
0.55,0.007898089171974518,0.0020929096206300387,2.344688130822845
0.6,0.008025477707006366,0.0021005193209116544,2.344688130822845
0.65,0.008280254777070058,0.0021218578826390244,2.344688130822845
0.7,0.00828025477707006,0.0022687231385365783,2.344688130822845
0.75,0.009171974522292991,0.002391143569009475,2.344688130822845
0.8,0.01006369426751592,0.0027359122812825546,2.344688130822845
0.85,0.012484076433121011,0.007676134366941526,2.344688130822845
0.9,0.017324840764331197,0.019245391993983358,2.344688130822845
0.95,0.03171974522292996,0.04596955738689556,2.344688130822845
1.0,0.04433121019108286,0.07348578335766467,2.344688130822845
1.05,0.03541401273885353,0.055564692500677686,2.344688130822845
