Model,Precision@10,Recall@10,RMSE
Baseline TF-IDF,0.0,0.0,
Baseline SVD,0.002445302445302446,0.0014533583252132793,2.3809533940130008
NCF,0.025000000000000005,0.024951793938771727,1.3302293723471967
Advanced Hybrid,0.020833333333333332,0.02438345289911921,2.5434704648274553
